# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.784336171412069,4.964022393798213,-0.005695250096683212,0,3.0,-0.02439055131332904,0.0,0.0,0.0
 0.07300834957310362,1.7923315000336526,4.964021599055622,-0.005695250096683212,0.21902504871931086,3.0,-0.02439055131332904,0.0,-0.36857335227599886,0.0
 0.10342861372744241,1.8003823882284151,4.964019223327772,-0.016907348833169265,0.31028584118232727,3.000000000000001,-0.023701474571123853,0.0,-0.46756915020127027,0.0
 0.1268911874079227,1.8084882302252496,4.964015279364542,-0.027877724470486125,0.3806735622237682,3.0000000000000013,-0.02303919515146944,0.0,-0.5400650821019451,0.0
 0.14677023323010335,1.8166484202530502,4.9640097799158145,-0.03861370298455044,0.4403106996903101,3.0,-0.022402392878578037,0.0,-0.5970919472661245,0.0
 0.1643698823793094,1.824862352540709,4.9640027377314695,-0.04912231176625048,0.4931096471379283,3.0000000000000018,-0.021789829060853066,0.0,-0.64349552031751,0.0
 0.18035753485924927,1.8331294213171205,4.96399416556139,-0.05941029451748491,0.5410726045777479,2.9999999999999982,-0.021200328519909096,0.0,-0.6819888876269453,0.0
 0.19512878855200844,1.8414490208111771,4.963984076155455,-0.06948412539226514,0.5853863656560253,2.9999999999999964,-0.020632791133377407,0.0,-0.7142973599428143,0.0
 0.2089408188164938,1.849820545251773,4.963972482263547,-0.07935002214563729,0.6268224564494814,3.000000000000004,-0.020086176256588928,0.0,-0.7416095729296601,0.0
 0.22197184871422887,1.858243388867801,4.9639593966355475,-0.08901395866293023,0.6659155461426867,3.0,-0.019559506633903406,0.0,-0.7647908950726062,0.0
 0.234351334495624,1.8667169458881545,4.963944832021336,-0.09848167667422202,0.7030540034868721,3.0,-0.01905185259040803,0.0,-0.7844972514239136,0.0
 0.24617676805953875,1.8752406105417267,4.963928801170795,-0.10775869680200922,0.7385303041786163,3.0,-0.01856234077994115,0.0,-0.8012412749365492,0.0
 0.2575237025246804,1.8838137770574115,4.963911316833804,-0.11685032903948077,0.7725711075740411,2.999999999999995,-0.01809014670232727,0.0,-0.8154333165880007,0.0
 0.2684520682475429,1.8924358396641017,4.963892391760247,-0.1257616825457612,0.8053562047426287,2.999999999999995,-0.017634487030016712,0.0,-0.8274082244173829,0.0
 0.27901032983844787,1.9011061925906905,4.963872038700002,-0.13449767502162613,0.8370309895153435,2.9999999999999947,-0.0171946227709346,0.0,-0.8374435300913521,0.0
 0.2892383225958538,1.9098242300660717,4.963850270402952,-0.14306304138213694,0.8677149677875614,3.0000000000000107,-0.01676985533510223,0.0,-0.8457722805014934,0.0
 0.2991692472680028,1.9185893463191386,4.963827099618978,-0.15146234218958893,0.8975077418040084,2.9999999999999942,-0.016359518800460604,0.0,-0.8525922899064223,0.0
 0.30883110945917147,1.9274009355787842,4.96380253909796,-0.1596999713999177,0.9264933283775143,2.9999999999999942,-0.01596298830337929,0.0,-0.8580730364948461,0.0
 0.31824778158580835,1.9362583920739018,4.96377660158978,-0.1677801638452974,0.954743344757425,3.0,-0.015579668660850208,0.0,-0.8623608685078282,0.0
 0.3274398016415761,1.9451611100333852,4.96374929984432,-0.17570700224393065,0.9823194049247281,2.999999999999994,-0.015208991487240083,0.0,-0.8655830346433834,0.0
 0.3364249842892714,1.9541084836861273,4.96372064661146,-0.18348442390694783,1.009274952867814,2.9999999999999876,-0.014850425222124986,0.0,-0.8678508265101517,0.0
 0.3452188954626854,1.9630999072610216,4.96369065464108,-0.19111622698705202,1.035656686388056,3.0000000000000124,-0.014503457063507877,0.0,-0.869262094815554,0.0
 0.3538352259474241,1.9721347749869615,4.9636593366830635,-0.1986060764738391,1.0615056778422722,3.0000000000000067,-0.014167608294701737,0.0,-0.8699032751190535,0.0
 0.36228608901114384,1.9812124810928406,4.963626705487291,-0.20595750993055154,1.0868582670334315,3.0000000000000067,-0.013842413288111343,0.0,-0.8698510187785654,0.0
 0.3705822601206223,1.9903324198075514,4.963592773803642,-0.21317394282209265,1.1117467803618668,3.0,-0.013527441751780172,0.0,-0.8691735470724388,0.0
 0.37873337193212925,1.9994939853599878,4.963557554382,-0.22025867358788423,1.1362001157963877,3.0,-0.013222274853619723,0.0,-0.8679317933889162,0.0
 0.3867480743358749,2.0086965719790433,4.963521059972244,-0.22721488861864564,1.1602442230076246,3.000000000000007,-0.01292651702000786,0.0,-0.8661803133484064,0.0
 0.39463416690557673,2.017939573893611,4.9634833033242565,-0.23404566675176453,1.1839025007167303,3.000000000000014,-0.012639791900004362,0.0,-0.8639680966687161,0.0
 0.4023987093450915,2.027222385332584,4.963444297187919,-0.24075398370473552,1.2071961280352745,3.0,-0.01236174234681196,0.0,-0.8613392351052995,0.0
 0.41004811423330445,2.0365444005248556,4.96340405431311,-0.24734271626015963,1.2301443426999135,3.0,-0.012092024827144582,0.0,-0.8583334859625358,0.0
 0.41758822540959595,2.0459050136993198,4.963362587449714,-0.25381464617065097,1.252764676228788,3.0000000000000147,-0.011830316357045829,0.0,-0.8549867823801871,0.0
 0.42502438462170883,2.0553036190848695,4.96331990934761,-0.26017246400868216,1.2750731538651268,3.0000000000000075,-0.011576303237032952,0.0,-0.851331640454843,0.0
 0.43236148851075334,2.0647396109103977,4.96327603275668,-0.26641877269873004,1.2970844655322604,3.000000000000015,-0.01132969091464507,0.0,-0.8473975393620725,0.0
